Full Address,LAT_LONG
"246 LENOX AVENUE                          New York, NY 10027","[40.8059849, -73.94639049999999]"
"10 WEST 123 STREET                        New York, NY 10027","[40.805908, -73.9455456]"
"64 EAST 126 STREET                        New York, NY 10027","[40.805867, -73.9393001]"
"2 WEST 123RD STREET New York, NY 10027","[40.8058015, -73.94533899999999]"
"50 MORNINGSIDE DRIVE New York, NY 10025","[40.8056698, -73.9598771]"
"529 WEST 113 STREET New York, NY 10025","[40.805634, -73.963646]"
"3 WEST 122ND STREET                       New York, NY 10027","[40.805557, -73.945622]"
"3 WEST 122 STREET                         New York, NY 10027","[40.805557, -73.945622]"
"390 RIVERSIDE DR New York, NY 10025","[40.805528, -73.967302]"
"24 MT MORRIS PARK WEST                    New York, NY 10027","[40.8054916, -73.94539639999999]"
"228 LENOX AVENUE                          New York, NY 10027","[40.8053673, -73.94680660000002]"
"10 WEST 122 STREET New York, NY 10027","[40.8052972, -73.9460622]"
"125 WEST 120 STREET New York, NY 10027","[40.8052834, -73.9490127]"
"605 WEST 111TH STREET New York, NY 10025","[40.8052809, -73.9669602]"
"140 WEST 120TH STREET                     New York, NY 10027","[40.805038, -73.949491]"
"545 WEST 111TH ST New York, NY 10025","[40.8048055, -73.9655092]"
"545 WEST 111 STREET New York, NY 10025","[40.8048055, -73.9655092]"
"1 MOUNT MORRIS PARK WE New York, NY 10027","[40.8046656, -73.94580169999999]"
"520 WEST 112TH STREET                     New York, NY 10025","[40.804576, -73.964294]"
"520 WEST 112 STREET                       New York, NY 10025","[40.804576, -73.964294]"
"536 WEST 111TH STREET New York, NY 10025","[40.8044461, -73.9656929]"
"536 W 111TH ST New York, NY 10025","[40.8044461, -73.9656929]"
"610 CATHEDRAL PARKWAY New York, NY 10025","[40.8043219, -73.9675391]"
"532 WEST 111TH New York, NY 10025","[40.8042657, -73.9655092]"
"532 WEST 111 STREET New York, NY 10025","[40.8042657, -73.9655092]"
"5 WEST 120TH STREET                       New York, NY 10027","[40.804251, -73.94656739999999]"
"545 WEST 110TH STREET                     New York, NY 10025","[40.8042068, -73.96607259999999]"
"610 WEST 110TH STREET New York, NY 10025","[40.8041916, -73.9676329]"
"507 WEST 111 STREET New York, NY 10025","[40.8041114, -73.96401689999999]"
"507 WEST 111TH STREET New York, NY 10025","[40.8041114, -73.96401689999999]"
"545 CATHEDRAL PARKWAY New York, NY 10025","[40.8040708, -73.96609120000001]"
"545 CATHEDRAL PARKWAY                     New York, NY 10025","[40.8040708, -73.96609120000001]"
"535 WEST 110 STREET New York, NY 10025","[40.8039994, -73.9656699]"
"58 WEST 120 STREET                        New York, NY 10027","[40.8039156, -73.9467166]"
"42 WEST 120 STREET New York, NY 10027","[40.80378109999999, -73.9462459]"
"42 WEST 120TH STREET New York, NY 10027","[40.80378109999999, -73.9462459]"
"504 W 111TH STREET New York, NY 10025","[40.80376500000001, -73.96429239999999]"
"527 W 110TH STREET New York, NY 10025","[40.8037226, -73.9651887]"
"527 CATHEDRAL PARKWAY New York, NY 10025","[40.8037185, -73.96518209999999]"
