,Full Address,LatLong
295,"326 EAST 82ND   STREET                    New York, NY 10028",
296,"320 EAST 82ND   STREET                    New York, NY 10028",
297,"215 EAST 80TH STREET                      New York, NY 10075",
298,"350 EAST 82ND   STREET New York, NY 10028",
299,"350 EAST 82ND STREET                      New York, NY 10028",
300,"350 EAST 82ND   STREET                    New York, NY 10028",
301,"350 EAST 82ND ST New York, NY 10028",
302,"337 EAST 82ND   STREET                    New York, NY 10028",
303,"201 EAST 80TH STREET New York, NY 10075",
304,"201 EAST 80TH STREET                      New York, NY 10075",
305,"201 EAST 80TH   STREET New York, NY 10075",
306,"7 EAST 76TH   STREET New York, NY 10021",
307,"306 EAST 82ND   STREET                    New York, NY 10028",
308,"306 EAST 82ND STREET New York, NY 10028",
309,"329 EAST 82ND   STREET                    New York, NY 10028",
310,"330 EAST 83RD STREET New York, NY 10028",
311,"229 EAST 81ST   STREET New York, NY 10028",
312,"320 EAST 83RD   STREET New York, NY 10028",
313,"225 EAST 81ST STREET                      New York, NY 10028",
314,"535 EAST 86TH   STREET New York, NY 10028",
315,"1420 3RD  AVENUE                          New York, NY 10028",
316,"331 EAST 83RD STREET New York, NY 10028",
317,"40 EAST 78TH   STREET New York, NY 10075",
318,"40 EAST 78TH STREET                       New York, NY 10075",
319,"40 EAST 78TH   STREET                     New York, NY 10075",
320,"215 EAST 81ST STREET                      New York, NY 10028",
321,"325 EAST 83RD   STREET                    New York, NY 10028",
322,"249 EAST 82ND   STREET                    New York, NY 10028",
323,"1006 MADISON AVENUE                       New York, NY 10075",
324,"344 EAST 84TH STREET New York, NY 10028",
325,"233 EAST 82ND   STREET                    New York, NY 10028",
326,"305 EAST 83RD STREET New York, NY 10028",
327,"349 EAST 84TH   STREET New York, NY 10028",
328,"347 EAST 84TH STREET                      New York, NY 10028",
329,"347 EAST 84TH   STREET New York, NY 10028",
330,"246 EAST 83RD   STREET                    New York, NY 10028",
331,"343 EAST 84TH   STREET                    New York, NY 10028",
332,"314 EAST 84TH   STREET                    New York, NY 10028",
333,"312 EAST 84TH   STREET                    New York, NY 10028",
334,"226 EAST 83RD   STREET                    New York, NY 10028",
335,"327 EAST 84TH   STREET                    New York, NY 10028",
336,"344 EAST 85TH   STREET                    New York, NY 10028",
337,"342 EAST 85TH   STREET                    New York, NY 10028",
338,"351 EAST 85TH   STREET                    New York, NY 10028",
339,"322 EAST 85TH STREET New York, NY 10028",
340,"167 EAST 82ND   STREET New York, NY 10028",
341,"167 EAST 82ND   STREET                    New York, NY 10028",
342,"312 EAST 85TH STREET New York, NY 10028",
343,"337 EAST 85TH STREET New York, NY 10028",
344,"201 E 83RD STREET New York, NY 10028",
345,"333 EAST 85TH STREET New York, NY 10028",
346,"335 EAST 85TH New York, NY 10028",
347,"321 EAST 85TH   STREET                    New York, NY 10028",
348,"216 EAST 84TH   STREET                    New York, NY 10028",
349,"214 EAST 84TH STREET New York, NY 10028",
350,"210 EAST 84TH STREET New York, NY 10028",
351,"208 EAST 84TH STREET New York, NY 10028",
352,"336 EAST 86TH   STREET                    New York, NY 10028",
353,"949 PARK AVENUE                           New York, NY 10028",
354,"125 EAST 82ND   STREET                    New York, NY 10028",
355,"320 EAST 86TH STREET New York, NY 10028",
356,"320 EAST 86TH   STREET New York, NY 10028",
357,"200 EAST 84TH ST New York, NY 10028",
358,"200 EAST 84TH STREET New York, NY 10028",
359,"314 EAST 86TH   STREET                    New York, NY 10028",
360,"512 EAST 89TH   STREET                    New York, NY 10128",
361,"308 EAST 86TH   STREET New York, NY 10028",
362,"345 EAST 86TH   STREET New York, NY 10028",
363,"345 EAST 86TH STREET New York, NY 10028",
364,"3 EAST 80TH   STREET                      New York, NY 10075",
365,"350 EAST 87TH   STREET                    New York, NY 10128",
366,"344 EAST 87TH   STREET New York, NY 10128",
367,"171 EAST 84TH STREET                      New York, NY 10028",
368,"171 EAST 84TH ST                          New York, NY 10028",
369,"355 EAST 87TH   STREET                    New York, NY 10128",
370,"1078 MADISON AVENUE                       New York, NY 10028",
371,"4 EAST 81ST   STREET                      New York, NY 10028",
372,"205 EAST 85TH   STREET New York, NY 10028",
373,"205 EAST 85TH   STREET                    New York, NY 10028",
374,"220 EAST 86TH   STREET                    New York, NY 10028",
375,"350 EAST 88TH   STREET                    New York, NY 10128",
376,"22 EAST 82ND STREET New York, NY 10028",
377,"22 EAST 82ND   STREET                     New York, NY 10028",
378,"360 EAST 88TH STREET New York, NY 10128",
379,"360 EAST 88TH   STREET                    New York, NY 10128",
380,"360 EAST 88TH   STREET New York, NY 10128",
381,"360 E. 88TH STREET                        New York, NY 10128",
382,"360 EAST 88TH STREET                      New York, NY 10128",
383,"311 EAST 87TH STREET New York, NY 10128",
384,"301 EAST 87TH STREET New York, NY 10128",
385,"4 EAST 82ND STREET New York, NY 10028",
386,"250 EAST 87TH  STREET New York, NY 10028",
387,"119 EAST 84TH   STREET New York, NY 10028",
388,"242 EAST 87TH   STREET New York, NY 10128",
389,"40 EAST 83RD STREET New York, NY 10028",
390,"103 EAST 84TH   STREET New York, NY 10028",
391,"354 EAST 89TH   STREET New York, NY 10128",
392,"315 EAST 88TH STREET New York, NY 10128",
393,"319 EAST 88TH   STREET                    New York, NY 10128",
394,"348 EAST 89TH   STREET                    New York, NY 10128",
395,"348 EAST 89TH STREET                      New York, NY 10128",
396,"389 EAST 89TH   STREET                    New York, NY 10128",
397,"389 EAST 89TH ST New York, NY 10128",
398,"235 EAST 87TH STREET New York, NY 10128",
399,"305 EAST 88TH  STREET New York, NY 10128",
400,"25 EAST 83RD New York, NY 10028",
401,"227 EAST 87TH STREET New York, NY 10128",
402,"234 EAST 88TH   STREET                    New York, NY 10128",
403,"331 EAST 89TH   STREET                    New York, NY 10128",
404,"21 EAST 83RD   STREET                     New York, NY 10028",
405,"40 EAST 84TH STREET New York, NY 10028",
406,"151-155 EAST 86TH   STREET                New York, NY 10028",
407,"321 EAST 89TH STREET New York, NY 10128",
408,"340 EAST 90TH STREET                      New York, NY 10128",
409,"237 EAST 88TH STREET                      New York, NY 10128",
410,"237 EAST 88TH   STREET                    New York, NY 10128",
411,"334 EAST 90TH STREET                      New York, NY 10128",
412,"313 EAST 89TH STREET New York, NY 10128",
413,"324 EAST 90TH STREET New York, NY 10128",
414,"170 EAST 87TH                             New York, NY 10128",
415,"252 EAST 89TH STREET New York, NY 10128",
416,"323 EAST 90TH STREET                      New York, NY 10128",
417,"3 EAST 84TH STREET New York, NY 10028",
418,"120 EAST 87TH STREET                      New York, NY 10128",
419,"120 EAST 87TH   STREET New York, NY 10128",
420,"319 EAST 90TH   STREET                    New York, NY 10128",
421,"350 EAST 91ST   STREET                    New York, NY 10128",
422,"30 EAST 85TH   STREET                     New York, NY 10028",
423,"30 EAST 85TH STREET                       New York, NY 10028",
424,"35 EAST 85TH STREET New York, NY 10028",
425,"35 EAST 85TH   STREET New York, NY 10028",
426,"300 EAST 90TH STREET                      New York, NY 10128",
427,"227 EAST 89TH STREET                      New York, NY 10128",
428,"333 EAST 91ST STREET New York, NY 10128",
429,"200 EAST 89TH STREET                      New York, NY 10128",
430,"200 EAST 89TH   STREET New York, NY 10128",
431,"200 EAST 89TH ST                          New York, NY 10128",
432,"316 EAST 91ST STREET                      New York, NY 10128",
433,"316 EAST 91ST   STREET                    New York, NY 10128",
434,"314 EAST 91ST STREET                      New York, NY 10128",
435,"312 EAST 91ST STREET                      New York, NY 10128",
436,"205 EAST 89TH STREET New York, NY 10128",
437,"3 EAST 85TH ST New York, NY 10028",
438,"55 EAST 86TH                              New York, NY 10028",
439,"208 EAST 90TH STREET New York, NY 10128",
440,"206 EAST 90TH   STREET New York, NY 10128",
441,"204 EAST 90TH STREET New York, NY 10128",
442,"200 EAST 90TH STREET New York, NY 10128",
443,"111 EAST 88TH   STREET New York, NY 10128",
444,"340 EAST 93RD STREET New York, NY 10128",
445,"1601 3RD AVENUE                           New York, NY 10128",
446,"331-333 EAST 92ND STREET New York, NY 10128",
447,"345 EAST 93RD ST New York, NY 10128",
448,"345 EAST 93RD   STREET New York, NY 10128",
449,"300 EAST 93RD   STREET                    New York, NY 10128",
450,"166 EAST 91ST   STREET                    New York, NY 10128",
451,"330 EAST 94TH ST New York, NY 10128",
452,"330 EAST 94TH   STREET New York, NY 10128",
453,"20 EAST 88TH STREET New York, NY 10128",
454,"20 EAST 88TH   STREET New York, NY 10128",
455,"20 EAST 88TH   STREET                     New York, NY 10128",
456,"20 EAST 88TH ST New York, NY 10128",
457,"19 EAST 88TH STREET New York, NY 10128",
458,"4 EAST 88TH STREET New York, NY 10128",
459,"1368 LEXINGTON AVENUE                     New York, NY 10128",
460,"245 EAST 93RD STREET                      New York, NY 10128",
461,"245 EAST 93RD   STREET New York, NY 10128",
462,"2 EAST 88TH STREET New York, NY 10128",
463,"166 EAST 92ND   STREET New York, NY 10128",
464,"301 EAST 94TH   STREET New York, NY 10128",
465,"333 EAST 95TH STREET                      New York, NY 10128",
466,"333 EAST 95TH   STREET                    New York, NY 10128",
467,"220 EAST 94TH   STREET                    New York, NY 10128",
468,"241-243 EAST 94TH STREET                  New York, NY 10128",
469,"200 EAST 94TH   STREET                    New York, NY 10128",
470,"200 EAST 94TH STREET                      New York, NY 10128",
471,"309 EAST 95TH   STREET                    New York, NY 10128",
472,"231-239 EAST 94TH STREET                  New York, NY 10128",
473,"123 EAST 92ND   STREET New York, NY 10128",
474,"336-338 EAST 96TH STREET                  New York, NY 10128",
475,"302 EAST 96TH   STREET                    New York, NY 10128",
476,"150 E 93RD                                New York, NY 10128",
477,"224 EAST 95TH   STREET New York, NY 10128",
478,"210 EAST 95TH   STREET New York, NY 10128",
479,"206 EAST 95TH STREET                      New York, NY 10128",
480,"206 EAST 95TH   STREET                    New York, NY 10128",
481,"206 EAST 95TH   STREET New York, NY 10128",
482,"206 E 95TH STREET                         New York, NY 10128",
483,"118 EAST 93RD   STREET                    New York, NY 10128",
484,"55 EAST 93RD   STREET New York, NY 10128",
485,"166 EAST 96TH   STREET New York, NY 10128",
486,"122 EAST 95TH   STREET                    New York, NY 10128",
487,"40 EAST 94TH STREET New York, NY 10128",
488,"40 EAST 94TH STREET                       New York, NY 10128",
489,"40 EAST 94TH   STREET New York, NY 10128",
490,"40 EAST 94TH   STREET                     New York, NY 10128",
491,"1326 MADISON AVENUE                       New York, NY 10128",
492,"1235 PARK AVE                             New York, NY 10128",
493,"21 EAST 94TH   STREET                     New York, NY 10128",
494,"20 EAST 95TH STREET New York, NY 10128",
495,"4 EAST 95TH   STREET New York, NY 10128",
496,"330 EAST 65 New York, NY 10065",
497,"354 EAST 81                               New York, NY 10028",
498,"1465 THIRD AVENUE                         New York, NY 10028",
