,LAT,LONG,YEAR,SALE PRICE
363,40.771326200000004,-73.95492226,2017,1523000
364,40.7713442,-73.95991070000001,2017,1665000
365,40.7713442,-73.95991070000001,2018,1475000
366,40.7713461,-73.9519402,2017,1122000
367,40.77135820000001,-73.95690379999999,2017,800000
368,40.771361999999996,-73.960096,2017,377500
369,40.771377,-73.950817,2017,2481300
370,40.771377,-73.950817,2018,1401771
371,40.77138,-73.955173,2017,930000
372,40.771427200000005,-73.95002159999999,2017,8835000
373,40.771427200000005,-73.95002159999999,2018,650000
374,40.77143,-73.956834,2017,6199000
375,40.77143,-73.956834,2018,2601000
376,40.77144106,-73.95486327,2017,4593906
377,40.771468299999995,-73.95414445,2017,318000
378,40.771489,-73.965132,2018,1350000
379,40.771512200000004,-73.9469031,2017,3199500
380,40.77153,-73.948386,2017,3460000
381,40.771609000000005,-73.954777,2017,901000
382,40.771615000000004,-73.956723,2017,3205000
383,40.771615000000004,-73.956723,2018,650000
384,40.7716195,-73.94940359,2017,5339000
385,40.771634999999996,-73.96069399999999,2017,2550000
386,40.77163869,-73.95488567,2017,1022500
387,40.771658,-73.9667283,2017,6245000
388,40.77167,-73.95150600000001,2017,5650000
389,40.77167,-73.95150600000001,2018,1185000
390,40.77167365,-73.96457184,2018,1300000
391,40.7716811,-73.9494145,2017,2340000
392,40.7717029,-73.9566964,2017,899500
393,40.771740799999996,-73.95954449999999,2017,11680546
394,40.771744399999996,-73.9605944,2017,2800000
395,40.771778999999995,-73.94685,2017,4982500
396,40.771808899999996,-73.954041,2017,650000
397,40.771818700000004,-73.9628676,2017,4025000
398,40.771823,-73.955798,2017,11096000
399,40.7718652,-73.9599302,2017,400000
400,40.771878,-73.949215,2017,845000
401,40.771919,-73.9551546,2017,910000
402,40.771919,-73.9551546,2018,575125
403,40.771925,-73.952114,2017,4375000
404,40.7719586,-73.95231700000001,2018,925000
405,40.771968,-73.951396,2017,3065000
406,40.771995600000004,-73.95565500000001,2017,4200000
407,40.771997999999996,-73.952279,2017,2838900
408,40.772008,-73.95732199999999,2017,445000
409,40.7720164,-73.9483813,2017,1185000
410,40.772063,-73.94825,2017,550000
411,40.77208579999999,-73.9669097,2017,1450000
412,40.772143,-73.96446,2017,400000
413,40.772152,-73.94657600000001,2017,2530000
414,40.7722065,-73.94578670000001,2017,4879000
415,40.772345,-73.98969100000001,2017,9291530
416,40.772345,-73.98969100000001,2018,4200000
