,Unnamed: 0,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LAT,LONG,LAT_LONG
12414,12418,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1440,5, ,D4,"315 EAST 65TH STREET, 4B", ,10065,0,0,0, -  , -  ,1962,2,D4,1545000,2017-02-09 00:00:00,40.764197,-73.960872,"(40.764197, -73.960872)"
12421,12425,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1441,17, ,D4,"333 EAST 66TH STREET, 14L", ,10065,0,0,0, -  , -  ,1964,2,D4,485000,2017-01-17 00:00:00,40.764371,-73.959379,"(40.764371, -73.959379)"
12422,12426,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1441,17, ,D4,"333 EAST 66TH STREET, 11R", ,10065,0,0,0, -  , -  ,1964,2,D4,480000,2017-02-15 00:00:00,40.764371,-73.959379,"(40.764371, -73.959379)"
12430,12434,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1443,1, ,D4,"315 EAST 68TH STREET, 14M", ,10065,0,0,0, -  , -  ,1931,2,D4,495000,2017-01-30 00:00:00,40.766215,-73.959912,"(40.766215, -73.959912)"
12431,12435,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1443,1, ,D4,"315 EAST 68TH STREET, 2J", ,10065,0,0,0, -  , -  ,1931,2,D4,805000,2017-02-06 00:00:00,40.766215,-73.959912,"(40.766215, -73.959912)"
12432,12436,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1443,1, ,D4,"315 E 68TH STREET, 2Q", ,10065,0,0,0, -  , -  ,1931,2,D4,610000,2017-02-22 00:00:00,40.766215,-73.959912,"(40.766215, -73.959912)"
12440,12444,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1444,8, ,D4,"315 EAST 69TH STREET, 7H", ,10021,0,0,0, -  , -  ,1961,2,D4,380000,2017-01-06 00:00:00,40.766528,-73.958672,"(40.766528, -73.958672)"
12460,12464,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1444,43, ,D4,"310 EAST 70TH STREET, 11Q", ,10021,0,0,0, -  , -  ,1959,2,D4,1100000,2017-01-20 00:00:00,40.766992,-73.95885,"(40.766992, -73.95885)"
12461,12465,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1444,43, ,D4,"310 EAST 70TH STREET, 1D", ,10021,0,0,0, -  , -  ,1959,2,D4,680000,2017-02-27 00:00:00,40.766992,-73.95885,"(40.766992, -73.95885)"
12470,12474,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1445,7, ,D4,"315 EAST 70TH STREET, 3B", ,10021,0,0,0, -  , -  ,1960,2,D4,415000,2017-02-03 00:00:00,40.767319,-73.9586,"(40.767319, -73.9586)"
