"Filing.Year","LATITUDE","LONGITUDE","Total"
1990,40.779813,-73.960379,1
1990,40.779824,-73.954244,1
1990,40.779843,-73.954288,2
1990,40.779843,-73.946474,1
1990,40.779854,-73.960473,2
1990,40.779902,-73.950258,2
1990,40.779973,-73.955226,2
1990,40.780022,-73.948878,1
1990,40.780026,-73.958938,2
1990,40.780028,-73.950168,3
1990,40.780069,-73.955158,2
1990,40.780251,-73.95003,1
1990,40.780351,-73.946827,1
1990,40.780393,-73.957028,2
1990,40.780453,-73.953785,1
1990,40.780466,-73.953857,1
1990,40.780488,-73.946119,2
1990,40.780511,-73.956945,1
1990,40.78057,-73.959014,2
1990,40.7806,-73.958176,2
1990,40.780621,-73.95689,8
1990,40.780835,-73.949575,3
1990,40.780912,-73.951023,1
1990,40.780917,-73.949062,2
1990,40.780955,-73.960826,3
1990,40.78109,-73.956522,1
1990,40.781137,-73.956486,1
1990,40.781165,-73.957464,2
1990,40.78128,-73.958522,1
1990,40.781293,-73.956399,5
1990,40.781295,-73.95984,1
1990,40.78135,-73.95997,2
1990,40.78137,-73.949181,3
1990,40.781374,-73.957912,2
1990,40.781377,-73.960039,2
1990,40.781389,-73.948271,2
1990,40.781416,-73.948339,2
1990,40.781418,-73.960179,10
1990,40.781425,-73.949141,3
1990,40.781476,-73.952044,1
1990,40.781483,-73.958179,2
1990,40.781702,-73.956074,1
1990,40.78177,-73.953918,1
1990,40.781774,-73.956045,2
1990,40.78182,-73.948855,1
1990,40.781861,-73.948827,1
1990,40.781861,-73.9474,3
1990,40.781869,-73.95325,1
1990,40.781872,-73.955976,6
1990,40.781891,-73.947469,2
1990,40.781956,-73.959338,3
1990,40.78198,-73.95741,2
1990,40.782043,-73.94978,2
1990,40.782097,-73.948682,1
1990,40.782107,-73.959988,1
1990,40.782126,-73.959471,1
1990,40.782217,-73.952177,1
1990,40.782223,-73.948299,1
1990,40.782295,-73.955669,3
1990,40.782309,-73.955633,2
1990,40.782479,-73.956647,1
1990,40.782557,-73.958832,2
1990,40.782575,-73.956922,2
1990,40.782635,-73.948284,2
1990,40.78272,-73.948194,1
1990,40.782727,-73.959236,2
1990,40.782761,-73.94819,4
1990,40.782833,-73.9497,6
1990,40.782852,-73.948118,2
1990,40.782941,-73.957741,2
1990,40.782968,-73.957264,1
1990,40.782973,-73.955152,2
1990,40.783003,-73.955712,5
1990,40.783006,-73.950154,2
1990,40.783032,-73.952166,2
1990,40.783077,-73.955098,3
1990,40.783116,-73.950859,1
1990,40.783142,-73.946587,3
1990,40.783155,-73.958254,1
1990,40.783202,-73.958369,2
1990,40.783236,-73.947836,1
1990,40.783301,-73.9586,1
1990,40.783512,-73.930157,1
1990,40.783534,-73.951364,2
1990,40.78355,-73.950544,3
1990,40.783553,-73.958936,1
1990,40.783632,-73.956777,1
1990,40.783635,-73.949652,2
1990,40.783698,-73.957607,1
1990,40.783739,-73.950381,1
1990,40.783742,-73.949908,2
1990,40.783771,-73.954592,2
1990,40.783802,-73.95036,2
1990,40.783811,-73.957928,3
1990,40.783933,-73.954447,2
1990,40.78396,-73.947283,3
1990,40.783989,-73.950226,2
1990,40.784037,-73.94725,1
1990,40.784081,-73.954339,1
1990,40.784156,-73.948991,2
1990,40.784178,-73.956379,5
1990,40.78424,-73.95422,2
1990,40.784248,-73.952103,1
1990,40.784254,-73.954797,2
1990,40.784438,-73.954075,1
1990,40.784494,-73.956173,2
1990,40.784557,-73.94378,7
1990,40.784621,-73.957856,1
1990,40.784695,-73.951775,1
1990,40.784713,-73.948174,2
1990,40.784724,-73.9482,3
1990,40.784732,-73.948221,4
1990,40.78476,-73.955952,6
1990,40.784799,-73.950521,2
1990,40.784817,-73.9538,4
1990,40.784826,-73.949611,1
1990,40.784999,-73.956837,2
1990,40.785009,-73.953688,1
1990,40.785114,-73.955114,1
1990,40.785246,-73.957696,1
1990,40.785298,-73.957263,1
1990,40.785337,-73.951799,1
1990,40.785338,-73.953424,2
1990,40.78548,-73.952092,2
1990,40.785512,-73.950113,1
1990,40.785526,-73.950098,8
1990,40.785743,-73.956902,5
1990,40.785971,-73.950864,2
1990,40.785977,-73.95298,2
1990,40.786023,-73.951326,1
1990,40.786071,-73.942634,1
1990,40.786076,-73.952886,5
1990,40.786143,-73.948646,4
1990,40.786155,-73.957024,3
1990,40.786274,-73.952766,1
1990,40.786337,-73.952694,1
1990,40.786396,-73.956851,1
1990,40.786647,-73.952149,1
1990,40.786676,-73.950325,4
1990,40.786898,-73.950166,3
1990,40.786909,-73.956478,2
1990,40.78696,-73.952239,2
1990,40.786982,-73.953604,2
1990,40.787012,-73.953672,1
1990,40.787087,-73.955962,2
1990,40.787205,-73.95594,2
1990,40.787205,-73.954091,2
1990,40.787293,-73.954102,4
1990,40.787606,-73.955077,1
1990,40.787622,-73.955499,1
1990,40.787718,-73.95534,2
1990,40.787735,-73.955333,2
1990,40.787889,-73.955329,2
1990,40.788067,-73.95408,1
1990,40.788352,-73.954993,1
1990,40.788733,-73.940728,1
1990,40.788915,-73.954144,2
1990,40.789074,-73.954476,5
1990,40.789156,-73.954433,3
1990,40.789508,-73.941901,1
1990,40.789516,-73.943234,2
1990,40.789922,-73.947961,1
1990,40.789971,-73.954245,3
1990,40.79007,-73.947852,1
1990,40.790169,-73.947805,2
1990,40.790211,-73.949871,1
1990,40.790411,-73.942605,2
1990,40.790559,-73.953814,13
1990,40.791173,-73.945804,1
1990,40.791206,-73.945883,3
1990,40.791515,-73.944525,1
1990,40.791791,-73.94727,1
1990,40.791985,-73.946457,1
1990,40.792122,-73.951961,2
1990,40.792224,-73.952206,1
1990,40.792238,-73.940306,2
1990,40.792241,-73.952289,2
1990,40.792293,-73.9404,1
1990,40.79235,-73.940581,2
1990,40.792364,-73.940613,2
1990,40.792451,-73.950364,3
1990,40.792517,-73.950317,3
1990,40.792608,-73.946027,2
1990,40.792618,-73.950245,2
1990,40.792696,-73.945268,2
1990,40.792844,-73.939771,2
1990,40.793076,-73.943585,3
1990,40.793377,-73.940414,1
1990,40.793646,-73.941634,1
1990,40.79367,-73.9402,1
1990,40.793694,-73.943776,1
1990,40.793706,-73.951519,1
1990,40.793738,-73.943108,5
1990,40.793746,-73.937929,2
1990,40.793918,-73.942277,2
1990,40.793928,-73.934469,2
1990,40.794227,-73.944819,3
1990,40.794475,-73.941655,2
1990,40.794489,-73.941688,4
1990,40.794641,-73.944519,4
1990,40.794709,-73.941973,1
1990,40.794938,-73.935027,1
1990,40.794993,-73.935114,2
1990,40.79503,-73.943016,1
1990,40.795105,-73.943143,1
1990,40.795127,-73.943193,1
1990,40.795204,-73.949228,2
1990,40.795238,-73.935955,1
1990,40.795308,-73.943666,1
1990,40.795327,-73.943713,1
1990,40.795443,-73.934106,1
1990,40.795509,-73.934214,2
1990,40.79559,-73.932351,1
1990,40.795722,-73.948545,2
1990,40.795818,-73.948769,1
1990,40.795832,-73.948758,1
1990,40.796111,-73.935344,5
1990,40.796227,-73.931873,1
1990,40.796248,-73.935246,1
1990,40.796257,-73.947584,1
1990,40.796274,-73.943972,1
1990,40.796383,-73.947468,3
1990,40.796688,-73.937991,2
1990,40.796982,-73.933704,4
1990,40.797211,-73.934512,1
1990,40.797319,-73.931514,1
1990,40.79762,-73.940247,3
1990,40.797636,-73.934198,4
1990,40.797706,-73.948608,6
1990,40.797804,-73.940139,3
1990,40.798216,-73.946152,1
1990,40.798396,-73.938954,2
1990,40.798749,-73.935945,1
1990,40.79878,-73.937956,1
1990,40.798877,-73.939322,2
1990,40.799086,-73.936262,4
1990,40.799202,-73.94121,1
1990,40.799505,-73.943677,3
1990,40.799524,-73.94372,1
1990,40.799549,-73.945154,3
1990,40.799907,-73.935615,3
1990,40.801877,-73.945261,1
1990,40.802222,-73.933973,1
1990,40.802261,-73.933944,1
1990,40.802299,-73.933915,1
1990,40.802305,-73.945253,2
1990,40.803034,-73.932184,3
1990,40.803243,-73.938751,1
1990,40.803388,-73.938151,1
1990,40.803583,-73.942272,1
1990,40.804077,-73.94191,2
1990,40.804167,-73.936904,1
1990,40.804558,-73.933808,1
1990,40.804802,-73.93846,2
1990,40.806129,-73.940348,1
1990,40.806552,-73.940517,1
1990,40.80671,-73.938953,2
1990,40.807276,-73.939538,2
1990,40.807485,-73.940798,1
1990,40.808096,-73.938331,1
1990,40.808189,-73.938872,1
1991,40.760097,-73.958687,1
1991,40.760561,-73.960336,6
1991,40.760619,-73.962387,9
1991,40.760933,-73.957748,2
1991,40.760948,-73.960989,8
1991,40.761204,-73.961859,2
1991,40.761226,-73.96191,2
1991,40.761306,-73.962137,1
1991,40.761317,-73.962162,2
1991,40.761362,-73.95778,2
1991,40.761368,-73.960343,15
1991,40.761499,-73.95869,1
1991,40.761579,-73.958834,2
1991,40.76188,-73.957361,1
1991,40.761895,-73.961595,3
1991,40.76196,-73.957303,2
1991,40.762045,-73.965786,4
1991,40.762209,-73.963187,3
1991,40.762316,-73.964537,1
1991,40.762416,-73.965945,5
