"","sale_id","year","nbhd","block","lot","address","zip","sale_date","price","long","lat"
"1483",48818,"2016","UPPER EAST SIDE (59-79)","1458","1103","1175 YORK AVENUE, 10H","10065","10/26/2016",1295222,-73.9577800760209,40.7613613094154
"1484",48819,"2016","UPPER EAST SIDE (59-79)","1458","1202","425 EAST 63RD   STREET, RES","10065","02/11/2016",1900000,-73.9588339960377,40.7615785255631
"1485",48820,"2016","UPPER EAST SIDE (59-79)","1458","1202","420 EAST 64TH STREET, W1G","10065","02/10/2016",648500,-73.9587252415215,40.7623223120624
"1486",48821,"2016","UPPER EAST SIDE (59-79)","1458","1202","425 EAST 63RD   STREET, RES","10065","02/11/2016",1325000,-73.9588339960377,40.7615785255631
"1487",48822,"2016","UPPER EAST SIDE (59-79)","1458","1202","425 EAST 63RD STREET, E9F","10065","05/09/2016",720000,-73.9588339960377,40.7615785255631
"1488",48823,"2016","UPPER EAST SIDE (59-79)","1458","1202","420 EAST 64 STREET, E 12H","10065","06/07/2016",1096634,-73.9587252415215,40.7623223120624
"1489",48824,"2016","UPPER EAST SIDE (59-79)","1458","1202","425 EAST 63RD STREET, E8D","10065","06/24/2016",1370000,-73.9588339960377,40.7615785255631
"1490",48825,"2016","UPPER EAST SIDE (59-79)","1458","1202","425 EAST 63RD   STREET, RES","10065","07/19/2016",725000,-73.9588339960377,40.7615785255631
"1491",48826,"2016","UPPER EAST SIDE (59-79)","1458","1202","425 EAST 63RD STREET, W4F","10065","07/19/2016",729000,-73.9588339960377,40.7615785255631
"1492",48827,"2016","UPPER EAST SIDE (59-79)","1458","1202","425 EAST 63RD STREET, W1G","10065","11/15/2016",655000,-73.9588339960377,40.7615785255631
"1493",48828,"2016","UPPER EAST SIDE (59-79)","1458","1202","425 EAST 63RD STREET, W7A","10065","11/03/2016",755000,-73.9588339960377,40.7615785255631
"1494",48830,"2016","UPPER EAST SIDE (59-79)","1458","1202","425 EAST 63RD STREET, W9J","10065","12/22/2016",849000,-73.9588339960377,40.7615785255631
"1495",48831,"2016","UPPER EAST SIDE (59-79)","1469","1003","401 EAST 74TH STREET, 9H","10021","03/31/2016",812000,-73.9546957524604,40.7689850309863
"1496",48832,"2016","UPPER EAST SIDE (59-79)","1469","1003","401 EAST 74TH STREET, 9R","10021","03/24/2016",937500,-73.9546957524604,40.7689850309863
"1497",48833,"2016","UPPER EAST SIDE (59-79)","1469","1003","401 EAST 74TH STREET, 5F","10021","04/07/2016",1360000,-73.9546957524604,40.7689850309863
